focus_area,2020_03_26,2020_04_28,2020_05_14,2020_06_09
agriculture,0.85,0.93,0.95,1
chemical,0.48,0.9,0.95,1
commerce,0.39,0.73,0.95,1
construction,0.2,0.86,0.95,1
education,0.9,0.9,0.95,1
fin_prof_services,0.68,1.52,0.95,1
food_consumables,0.13,0.22,0.85,1
healthcare,0.91,0.91,0.95,1
hospitality_tourism,0.13,0.22,0.75,0.95
manufacturing,0.48,0.9,0.95,1
mining,0.23,0.92,0.95,1
media,0.71,0.93,0.95,1
energy,0.79,0.91,0.95,1
telecom,0.71,0.93,0.95,1
public_admin,0.91,0.91,0.95,1
supply_chain_ship,0.58,0.76,0.95,1
forest_husb_fish,0.85,0.93,0.95,1
textiles,0.48,0.9,0.95,1
transportation,0.58,0.76,0.95,1
utilities,0.79,0.91,0.95,1
open_border,0,0,0,0.5
air_travel,0,0.5,0.9,1
roal_rail_travel,0,0.5,0.9,1
public_transport,0,0.5,0.9,1
curfew,0.1,0.5,0.9,1
ecommerce,1,1,1,1
events_allowed,0,1,1,1
worship_allowed,0,1,1,1
